Kףd ADM;Kףd obce;Nבzev obce;Kףd MOMC;Nבzev MOMC;Kףd obvodu Prahy;Nבzev obvodu Prahy;Kףd טבsti obce;Nבzev טבsti obce;Kףd ulice;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
14694212;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;14;;;37833;709754.15;1164417.26;2013-12-01T00:00:00
14694221;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;15;;;37833;709739.44;1164408.43;2013-12-01T00:00:00
14694239;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;16;;;37833;709727.17;1164357.23;2013-12-01T00:00:00
14694247;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;17;;;37833;709711.20;1164303.38;2013-12-01T00:00:00
14694255;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;20;;;37833;709681.06;1164461.48;2013-12-01T00:00:00
14694263;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;22;;;37833;709829.13;1164482.23;2013-12-01T00:00:00
14694271;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;23;;;37833;709790.23;1164525.03;2013-12-01T00:00:00
14694280;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;25;;;37833;709847.72;1164555.21;2013-12-01T00:00:00
14694298;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;26;;;37833;709901.51;1164518.21;2013-12-01T00:00:00
14694301;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;29;;;37833;710001.70;1164556.19;2013-12-01T00:00:00
14694310;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;32;;;37833;709714.49;1164508.42;2013-12-01T00:00:00
14694328;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;33;;;37833;709443.20;1164390.98;2013-12-01T00:00:00
14694336;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;34;;;37833;709518.62;1164458.49;2013-12-01T00:00:00
14694344;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;36;;;37833;709846.86;1164506.42;2013-12-01T00:00:00
14694352;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;37;;;37833;709948.98;1164520.34;2013-12-01T00:00:00
14694361;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;38;;;37833;709799.73;1164426.02;2013-12-01T00:00:00
14694379;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;40;;;37833;709983.17;1164551.39;2013-12-01T00:00:00
14694387;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;41;;;37833;709834.55;1164518.48;2013-12-01T00:00:00
14694395;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;42;;;37833;709576.27;1164505.08;2013-12-01T00:00:00
14694409;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;43;;;37833;709519.52;1164489.27;2013-12-01T00:00:00
14694417;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;45;;;37833;709658.07;1164212.46;2013-12-01T00:00:00
14694425;546101;ָםmלר;;;;;23884;Potoטnב;;;ט.p.;46;;;37833;709712.53;1164258.53;2013-12-01T00:00:00
14742420;546101;ָםmלר;;;;;105520;Novב Ves;;;ט.p.;1;;;37802;715366.06;1160590.38;2013-12-01T00:00:00
14742438;546101;ָםmלר;;;;;105520;Novב Ves;;;ט.p.;2;;;37802;715378.88;1160559.50;2013-12-01T00:00:00
14742446;546101;ָםmלר;;;;;105520;Novב Ves;;;ט.p.;3;;;37802;715393.00;1160525.50;2013-12-01T00:00:00
14742454;546101;ָםmלר;;;;;105520;Novב Ves;;;ט.p.;4;;;37802;715399.13;1160500.75;2013-12-01T00:00:00
