KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
81844573;570826;Kosmonosy;;;;;402885;Kosmonosy;290947;Pr˘myslov·;Ë.p.;1315;;;29306;701345.67;1010200.73;2021-05-26T00:00:00
81908113;570826;Kosmonosy;;;;;402885;Kosmonosy;290688;Hradiöùsk·;Ë.p.;1316;;;29306;701485.18;1008296.54;2021-06-18T00:00:00
81937393;570826;Kosmonosy;;;;;402885;Kosmonosy;290700;Karla VeselÈho;Ë.p.;1318;;;29306;701803.18;1009366.82;2021-06-30T00:00:00
81937415;570826;Kosmonosy;;;;;402885;Kosmonosy;290700;Karla VeselÈho;Ë.p.;1317;;;29306;701811.58;1009364.61;2021-06-30T00:00:00
82055947;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1299;;;29306;702015.43;1008390.54;2021-08-30T00:00:00
82132500;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;179;;;29301;699493.76;1008523.96;2021-09-30T00:00:00
82220182;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1297;;;29306;702015.78;1008371.26;2021-10-27T00:00:00
82268452;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1298;;;29306;702015.11;1008379.80;2021-11-16T00:00:00
82268614;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1294;;;29306;701999.83;1008349.06;2021-11-30T00:00:00
82302758;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;511;;;29306;703018.91;1008344.01;2021-11-30T00:00:00
82642508;570826;Kosmonosy;;;;;402885;Kosmonosy;677493;KvÏtinov·;Ë.p.;977;;;29306;702302.29;1009098.43;2022-02-21T00:00:00
82730458;570826;Kosmonosy;;;;;402885;Kosmonosy;290891;Boleslavsk·;Ë.p.;1320;;;29306;701721.67;1009337.41;2022-04-11T00:00:00
82800065;570826;Kosmonosy;;;;;402885;Kosmonosy;290891;Boleslavsk·;Ë.p.;1319;;;29306;701733.31;1009334.40;2022-04-11T00:00:00
82919135;570826;Kosmonosy;;;;;402885;Kosmonosy;290858;Tesa¯sk·;Ë.p.;1324;;;29306;701425.02;1008691.24;2022-05-02T00:00:00
82930457;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1301;;;29306;702036.01;1008382.16;2022-05-17T00:00:00
83071407;570826;Kosmonosy;;;;;402885;Kosmonosy;290947;Pr˘myslov·;Ë.p.;1325;;;29306;702090.43;1009910.83;2022-06-23T00:00:00
83249486;570826;Kosmonosy;;;;;402885;Kosmonosy;290769;Pod koupaliötÏm;Ë.p.;1124;;;29306;702338.47;1008395.26;2022-08-31T00:00:00
84560592;570826;Kosmonosy;;;;;402885;Kosmonosy;290891;Boleslavsk·;Ë.p.;1321;;;29306;701740.21;1009347.93;2023-01-09T00:00:00
84595221;570826;Kosmonosy;;;;;402885;Kosmonosy;677477;LuËnÌ;Ë.p.;1326;;;29306;702233.35;1009198.29;2022-12-06T00:00:00
84658649;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1296;;;29306;702013.75;1008363.42;2022-12-29T00:00:00
84882581;570826;Kosmonosy;;;;;402885;Kosmonosy;771465;OkruûnÌ;Ë.p.;1122;;;29306;702347.86;1008475.40;2023-01-17T00:00:00
84964049;570826;Kosmonosy;;;;;402885;Kosmonosy;771465;OkruûnÌ;Ë.p.;1147;;;29306;702509.00;1008457.67;2023-02-15T00:00:00
84970685;570826;Kosmonosy;;;;;402885;Kosmonosy;771465;OkruûnÌ;Ë.p.;1139;;;29306;702499.51;1008576.61;2023-02-17T00:00:00
85344354;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;181;;;29301;699175.81;1008540.81;2023-07-10T00:00:00
85404918;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1300;;;29306;702024.34;1008388.03;2023-08-07T00:00:00
85689769;570826;Kosmonosy;;;;;402885;Kosmonosy;771465;OkruûnÌ;Ë.p.;1125;;;29306;702390.67;1008407.32;2023-10-25T00:00:00
86014358;570826;Kosmonosy;;;;;402885;Kosmonosy;290785;Pod Oborou;Ë.p.;1327;;;29306;702585.90;1008562.10;2024-02-20T00:00:00
86017501;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;184;;;29301;699035.45;1008552.43;2024-02-26T00:00:00
86286048;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;191;;;29301;699323.15;1008105.04;2024-06-24T00:00:00
86302094;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1291;;;29306;702018.98;1008341.48;2024-06-24T00:00:00
86323636;570826;Kosmonosy;;;;;402885;Kosmonosy;290777;Pod Loretou;Ë.p.;1323;;;29306;701704.53;1009347.00;2024-07-08T00:00:00
