Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
7217757;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;182;;;54906;621373.69;1032061.23;2013-11-29T00:00:00
7217781;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;185;;;54906;621812.40;1033065.96;2013-11-29T00:00:00
7217790;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;186;;;54906;621660.53;1032191.42;2013-11-29T00:00:00
7217811;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;188;;;54906;621513.26;1032175.10;2013-11-29T00:00:00
7217838;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;190;;;54906;621657.59;1033815.34;2013-11-29T00:00:00
7217846;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;191;;;54906;621784.35;1033068.38;2013-11-29T00:00:00
7217854;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;192;;;54906;621515.51;1032877.82;2013-11-29T00:00:00
7217862;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;193;;;54906;621513.73;1033902.75;2013-11-29T00:00:00
7217871;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;194;;;54906;621761.53;1033075.44;2013-11-29T00:00:00
7217889;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;195;;;54906;621484.89;1033896.84;2013-11-29T00:00:00
7217897;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;196;;;54906;621662.26;1032501.58;2013-11-29T00:00:00
7217901;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;197;;;54906;621291.43;1031886.50;2013-11-29T00:00:00
7217919;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;198;;;54906;621279.35;1031864.02;2013-11-29T00:00:00
7217927;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;199;;;54906;621668.05;1033482.77;2013-11-29T00:00:00
7217935;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;200;;;54906;621670.09;1033588.37;2013-11-29T00:00:00
7217943;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;201;;;54906;621579.78;1032896.91;2013-11-29T00:00:00
7217951;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;202;;;54906;621447.58;1032829.23;2013-11-29T00:00:00
