Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
71564811;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;143;;;67962;602807.99;1116690.46;2014-01-29T00:00:00
72506733;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;138;;;67962;602979.82;1116330.63;2014-04-03T00:00:00
73393193;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;139;;;67962;603137.34;1116625.30;2015-01-30T00:00:00
77718097;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;144;;;67962;602630.35;1116433.41;2017-10-16T00:00:00
77788524;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;145;;;67962;603015.95;1116247.32;2017-11-09T00:00:00
78439272;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;146;;;67962;602847.53;1116504.21;2018-06-15T00:00:00
78522218;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;147;;;67962;602818.71;1116712.65;2018-07-17T00:00:00
81054203;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;149;;;67962;603031.68;1116368.38;2020-08-05T00:00:00
81086318;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;150;;;67962;602893.89;1116366.75;2020-08-20T00:00:00
81302347;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;151;;;67962;602997.12;1116145.46;2020-11-23T00:00:00
82596816;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;148;;;67962;602825.20;1116669.89;2022-01-31T00:00:00
85795101;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;155;;;67962;602900.78;1116732.33;2023-11-28T00:00:00
